iter	Passed	Remaining
455	834	995
456	835	993
457	836	990
458	837	987
459	838	984
460	839	981
461	840	979
462	841	976
463	842	973
464	843	970
465	844	967
466	845	965
467	846	962
468	849	961
469	850	959
470	851	956
471	852	953
472	853	950
473	854	948
474	855	945
475	856	942
476	857	940
477	858	937
478	859	934
479	860	932
480	861	929
481	862	926
482	864	925
483	865	922
484	866	920
485	867	917
486	868	914
487	869	912
488	870	909
489	871	907
490	872	904
491	873	901
492	874	899
493	875	896
494	876	893
495	877	891
496	879	889
497	880	887
498	881	884
499	882	882
500	883	879
501	884	877
502	885	874
503	886	872
504	887	870
505	888	867
506	889	865
507	890	862
508	891	860
509	894	859
510	895	856
511	896	854
512	897	852
513	898	849
514	899	847
515	900	844
516	901	842
517	902	839
518	903	837
519	904	835
520	905	832
521	906	830
522	908	828
523	909	826
524	910	823
525	911	821
526	912	819
527	913	816
528	914	814
529	915	812
530	916	809
531	918	807
532	919	805
533	920	803
534	921	800
535	923	799
536	926	798
537	927	796
538	928	794
539	929	792
540	931	790
541	932	788
542	933	786
543	935	783
544	935	781
545	937	779
546	939	778
547	941	776
548	942	774
549	944	772
550	945	770
551	946	768
552	947	765
553	948	763
554	949	761
555	950	759
556	952	757
557	954	756
558	956	754
559	957	752
560	958	750
561	959	748
562	960	745
563	962	743
564	963	741
565	964	739
566	965	737
567	966	735
568	968	733
569	970	732
570	971	730
571	973	728
572	975	726
573	976	724
574	977	722
575	979	720
576	980	718
577	981	716
578	982	714
579	984	712
580	985	710
581	988	709
582	989	707
583	990	705
584	991	703
585	992	701
586	994	699
587	996	698
588	997	696
589	998	693
590	1000	692
591	1002	690
592	1003	688
593	1004	686
594	1005	684
595	1007	682
596	1008	680
597	1009	678
598	1010	676
599	1011	674
600	1012	672
601	1015	671
602	1017	669
603	1018	667
604	1019	665
605	1020	663
606	1022	661
607	1023	659
608	1024	657
609	1025	655
610	1026	653
611	1027	651
612	1030	650
613	1032	648
614	1034	647
615	1035	645
616	1036	643
617	1037	641
618	1038	639
619	1040	637
620	1041	635
621	1042	633
622	1043	631
623	1045	629
624	1047	628
625	1048	626
626	1050	624
627	1051	622
628	1053	621
629	1054	619
630	1055	617
631	1056	615
632	1057	613
633	1059	611
634	1061	609
635	1062	608
636	1063	606
637	1065	604
638	1066	602
639	1068	600
640	1069	598
641	1070	596
642	1072	595
643	1073	593
644	1075	591
645	1077	590
646	1078	588
647	1079	586
648	1081	585
649	1082	583
650	1084	581
651	1085	579
652	1086	577
653	1088	575
654	1090	574
655	1092	572
656	1095	571
657	1097	570
658	1098	568
659	1099	566
660	1101	564
661	1102	562
662	1105	561
663	1106	560
664	1107	558
665	1110	556
666	1111	555
667	1112	553
668	1113	551
669	1115	549
670	1116	547
671	1117	545
672	1119	543
673	1121	542
674	1122	540
675	1125	539
676	1126	537
677	1127	535
678	1128	533
679	1129	531
680	1131	529
681	1132	527
682	1133	525
683	1137	525
684	1138	523
685	1140	522
686	1142	520
687	1143	518
688	1144	516
689	1145	514
690	1146	512
691	1147	510
692	1149	509
693	1151	507
694	1155	506
695	1156	505
696	1157	503
697	1159	501
698	1160	499
699	1162	498
700	1163	496
701	1167	495
702	1169	493
703	1171	492
704	1173	490
705	1174	489
706	1175	487
707	1177	485
708	1178	483
709	1181	482
710	1183	480
711	1185	479
712	1187	477
713	1188	476
714	1189	474
715	1190	472
716	1191	470
717	1192	468
718	1195	467
719	1196	465
720	1199	464
721	1200	462
722	1201	460
723	1202	458
724	1204	456
725	1205	455
726	1206	453
727	1207	451
728	1211	450
729	1214	449
730	1215	447
731	1217	445
732	1218	443
733	1220	442
734	1221	440
735	1223	438
736	1226	437
737	1227	435
738	1230	434
739	1232	433
740	1233	431
741	1235	429
742	1237	427
743	1238	426
744	1242	425
745	1244	423
746	1245	421
747	1246	420
748	1248	418
749	1249	416
750	1250	414
751	1251	412
752	1253	411
753	1254	409
754	1257	407
755	1258	406
756	1260	404
757	1263	403
758	1264	401
759	1266	399
760	1267	398
761	1268	396
762	1271	394
763	1272	393
764	1275	391
765	1276	390
766	1277	388
767	1280	386
768	1282	385
769	1283	383
770	1285	381
771	1288	380
772	1291	379
773	1292	377
774	1296	376
775	1298	374
776	1299	373
777	1302	371
778	1305	370
779	1307	368
780	1308	366
781	1310	365
782	1313	364
783	1315	362
784	1318	361
785	1321	359
786	1323	358
787	1324	356
788	1326	354
789	1327	352
790	1328	351
791	1330	349
792	1332	347
793	1334	346
794	1336	344
795	1338	342
796	1339	341
797	1341	339
798	1342	337
799	1344	336
800	1347	334
801	1349	333
802	1350	331
803	1351	329
804	1353	327
805	1355	326
806	1356	324
807	1358	322
808	1359	320
809	1360	319
810	1362	317
811	1364	315
812	1366	314
813	1368	312
814	1370	311
815	1372	309
816	1373	307
817	1375	305
818	1377	304
819	1378	302
820	1381	301
821	1382	299
822	1383	297
823	1384	295
824	1386	294
825	1388	292
826	1389	290
827	1392	289
828	1395	287
829	1396	286
830	1397	284
831	1398	282
832	1399	280
833	1400	278
834	1402	277
835	1403	275
836	1404	273
837	1406	271
838	1408	270
839	1409	268
840	1410	266
841	1411	264
842	1413	263
843	1414	261
844	1415	259
845	1417	257
846	1418	256
847	1420	254
848	1422	252
849	1424	251
850	1426	249
851	1428	248
852	1429	246
853	1430	244
854	1431	242
855	1432	241
856	1434	239
857	1436	237
858	1438	236
859	1440	234
860	1441	232
861	1442	230
862	1443	229
863	1445	227
864	1446	225
865	1447	223
866	1448	222
867	1451	220
868	1452	219
869	1454	217
870	1456	215
871	1457	213
872	1458	212
873	1459	210
874	1460	208
875	1461	206
876	1463	205
877	1465	203
878	1466	201
879	1468	200
880	1470	198
881	1471	196
882	1473	195
883	1474	193
884	1476	191
885	1477	190
886	1478	188
887	1479	186
888	1481	184
889	1483	183
890	1485	181
891	1486	180
892	1488	178
893	1489	176
894	1490	174
895	1491	173
896	1492	171
897	1494	169
898	1496	168
899	1498	166
900	1500	164
901	1502	163
902	1503	161
903	1504	159
904	1505	158
905	1506	156
906	1507	154
907	1508	152
908	1511	151
909	1512	149
910	1514	147
911	1515	146
912	1516	144
913	1517	142
914	1518	141
915	1520	139
916	1521	137
917	1522	136
918	1523	134
919	1526	132
920	1527	131
921	1529	129
922	1531	127
923	1532	126
924	1533	124
925	1534	122
926	1536	120
927	1537	119
928	1538	117
929	1541	115
930	1542	114
931	1544	112
932	1546	111
933	1547	109
934	1548	107
935	1549	105
936	1550	104
937	1552	102
938	1553	100
939	1555	99
940	1557	97
941	1558	95
942	1560	94
943	1561	92
944	1562	90
945	1564	89
946	1565	87
947	1566	85
948	1568	84
949	1569	82
950	1571	80
951	1573	79
952	1575	77
953	1577	76
954	1578	74
955	1579	72
956	1580	71
957	1581	69
958	1583	67
959	1586	66
960	1588	64
961	1590	62
962	1591	61
963	1593	59
964	1594	57
965	1595	56
966	1596	54
967	1597	52
968	1598	51
969	1601	49
970	1602	47
971	1604	46
972	1605	44
973	1606	42
974	1607	41
975	1609	39
976	1610	37
977	1611	36
978	1612	34
979	1613	32
980	1614	31
981	1616	29
982	1619	28
983	1621	26
984	1623	24
985	1624	23
986	1625	21
987	1627	19
988	1628	18
989	1629	16
990	1631	14
991	1633	13
992	1634	11
993	1636	9
994	1637	8
995	1638	6
996	1639	4
997	1640	3
998	1641	1
999	1643	0
